17/03/22 07:12:43 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/22 07:12:44 INFO client.RMProxy: Connecting to ResourceManager at mastercluster-1-m/10.138.0.3:8032
17/03/22 07:12:45 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/22 07:12:48 INFO input.FileInputFormat: Total input paths to process : 3032
17/03/22 07:12:48 INFO mapreduce.JobSubmitter: number of splits:3032
17/03/22 07:12:48 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490157211500_0006
17/03/22 07:12:48 INFO impl.YarnClientImpl: Submitted application application_1490157211500_0006
17/03/22 07:12:48 INFO mapreduce.Job: The url to track the job: http://mastercluster-1-m:8088/proxy/application_1490157211500_0006/
17/03/22 07:12:48 INFO mapreduce.Job: Running job: job_1490157211500_0006
17/03/22 07:12:55 INFO mapreduce.Job: Job job_1490157211500_0006 running in uber mode : false
17/03/22 08:02:34 INFO mapreduce.Job:  map 100% reduce 100%
17/03/22 08:02:42 INFO mapreduce.Job: Job job_1490157211500_0006 completed successfully
17/03/22 08:02:43 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=3416728275
		FILE: Number of bytes written=7213484910
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1139802340
		GS: Number of bytes written=235557209
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=427186
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3032
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=3032
		Launched reduce tasks=13
		Rack-local map tasks=3032
		Total time spent by all maps in occupied slots (ms)=56191344
		Total time spent by all reduces in occupied slots (ms)=27531300
		Total time spent by all map tasks (ms)=18730448
		Total time spent by all reduce tasks (ms)=4588550
		Total vcore-milliseconds taken by all map tasks=18730448
		Total vcore-milliseconds taken by all reduce tasks=9177100
		Total megabyte-milliseconds taken by all map tasks=57539936256
		Total megabyte-milliseconds taken by all reduce tasks=28192051200
	Map-Reduce Framework
		Map input records=3032
		Map output records=210397445
		Map output bytes=2995933284
		Map output materialized bytes=3416946507
		Input split bytes=427186
		Combine input records=0
		Combine output records=0
		Reduce input groups=1216385
		Reduce shuffle bytes=3416946507
		Reduce input records=210397445
		Reduce output records=1216385
		Spilled Records=420794890
		Shuffled Maps =36384
		Failed Shuffles=0
		Merged Map outputs=36384
		GC time elapsed (ms)=342967
		CPU time spent (ms)=8732690
		Physical memory (bytes) snapshot=1143552434176
		Virtual memory (bytes) snapshot=13409318789120
		Total committed heap usage (bytes)=1048380440576
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1139802340
	File Output Format Counters 
		Bytes Written=235557209
Job output is complete

